cellMarker,shortname
SDC4,Podocyte
SEMA3E,Podocyte
SEMA3G,Podocyte
SEPTIN11,Podocyte
SGIP1,Podocyte
SH2D4A,Podocyte
SHISA3,Podocyte
SIVA1,Podocyte
SLC31A2,Podocyte
SLC48A1,Podocyte
SMO,Podocyte
SNRNP27,Podocyte
SNX31,Podocyte
SPARC,Podocyte
SPEG,Podocyte
SQSTM1,Podocyte
SRGAP1,Podocyte
SSBP2,Podocyte
ST3GAL3,Podocyte
ST3GAL6,Podocyte
ST6GALNAC3,Podocyte
ST6GALNAC6,Podocyte
SULF1,Podocyte
SYNPO,Podocyte
TAX1BP3,Podocyte
TCF21,Podocyte
TDRD5,Podocyte
THSD7A,Podocyte
TIMP2,Podocyte
TJP1,Podocyte
TMED9,Podocyte
TMEM108,Podocyte
TMEM109,Podocyte
TMEM150C,Podocyte
TMEM159,Podocyte
TMEM54,Podocyte
TMOD3,Podocyte
TNS2,Podocyte
TOMM20,Podocyte
TOP1MT,Podocyte
TPM1,Podocyte
TRIB2,Podocyte
TSC22D1,Podocyte
TSPAN13,Podocyte
TSPAN15,Podocyte
TUBB2B,Podocyte
UACA,Podocyte
UNC50,Podocyte
VASN,Podocyte
VEGFA,Podocyte
WIF1,Podocyte
WIPF3,Podocyte
WSB2,Podocyte
WT1,Podocyte
YIPF1,Podocyte
ZBTB7C,Podocyte
ZBTB8A,Podocyte
ZCRB1,Podocyte
4833439L19RIK,Monocyte
4931406C07RIK,Tubule Cell
ACAA1B,Tubule Cell
ACOX1,Tubule Cell
ACOX3,Tubule Cell
ACSM2,Tubule Cell
ACY3,Tubule Cell
AK4,Tubule Cell
AKR1A1,Tubule Cell
AKR1C21,Tubule Cell
AKR7A5,Tubule Cell
ALDH6A1,Tubule Cell
ASL,Tubule Cell
ASPDH,Tubule Cell
ASS1,Tubule Cell
BDH2,Tubule Cell
CALML4,Tubule Cell
CAR14,Tubule Cell
CAT,Tubule Cell
CCDC107,Tubule Cell
CDA,Tubule Cell
CELA1,Tubule Cell
CES1D,Tubule Cell
CES1F,Tubule Cell
CNDP2,Tubule Cell
CYP2D26,Tubule Cell
CYP2E1,Tubule Cell
CYP2J5,Tubule Cell
D630029K05RIK,Tubule Cell
DEFB29,Tubule Cell
DNAJC12,Tubule Cell
DNASE1,Tubule Cell
ECI3,Tubule Cell
EPHX2,Tubule Cell
ERRFI1,Tubule Cell
FAH,Tubule Cell
FBP1,Tubule Cell
FMO2,Tubule Cell
FOLR1,Tubule Cell
FTH1,Tubule Cell
FUT9,Tubule Cell
G6PC,Tubule Cell
GCDH,Tubule Cell
GHR,Tubule Cell
GLYAT,Tubule Cell
GM10804,Tubule Cell
GPD1,Tubule Cell
GPX1,Tubule Cell
GSTZ1,Tubule Cell
GUCA2B,Tubule Cell
HAO2,Tubule Cell
HSD3B2,Tubule Cell
HSPE1,Tubule Cell
HYKK,Tubule Cell
INMT,Tubule Cell
KCNJ15,Tubule Cell
KEG1,Tubule Cell
KHK,Tubule Cell
LAP3,Tubule Cell
LDHD,Tubule Cell
LRP2,Tubule Cell
MACROD2,Tubule Cell
MEP1A,Tubule Cell
MIOX,Tubule Cell
MPV17L,Tubule Cell
NAT8,Tubule Cell
NEU1,Tubule Cell
NOX4,Tubule Cell
NUDT19,Tubule Cell
PCK1,Tubule Cell
PDZK1,Tubule Cell
PECR,Tubule Cell
PIPOX,Tubule Cell
PRODH,Tubule Cell
PRODH2,Tubule Cell
PRSS8,Tubule Cell
RAB11FIP3,Tubule Cell
SCP2,Tubule Cell
SLC13A3,Tubule Cell
SLC17A1,Tubule Cell
SLC17A3,Tubule Cell
SLC22A1,Tubule Cell
SLC22A12,Tubule Cell
SLC22A18,Tubule Cell
SLC22A28,Tubule Cell
SLC22A30,Tubule Cell
SLC22A6,Tubule Cell
SLC22A8,Tubule Cell
SLC27A2,Tubule Cell
SLC34A1,Tubule Cell
SLC37A4,Tubule Cell
SLC47A1,Tubule Cell
SLC4A4,Tubule Cell
SLC5A8,Tubule Cell
SLC6A18,Tubule Cell
SLC6A19,Tubule Cell
SLC6A20B,Tubule Cell
SLC7A13,Tubule Cell
SLC7A7,Tubule Cell
SLCO1A6,Tubule Cell
SNHG11,Tubule Cell
SORD,Tubule Cell
TCN2,Tubule Cell
THEM7,Tubule Cell
TMEM106A,Tubule Cell
TMEM150A,Tubule Cell
TMEM174,Tubule Cell
TNFAIP8,Tubule Cell
TRIM7,Tubule Cell
TTC36,Tubule Cell
UGT2B38,Tubule Cell
UGT3A1,Tubule Cell
UGT3A2,Tubule Cell
UPB1,Tubule Cell
XYLB,Tubule Cell
ABCA13,Tubule Cell
CALB1,Tubule Cell
CWH43,Tubule Cell
EMX1,Tubule Cell
GM15848,Tubule Cell
HOXB5OS,Tubule Cell
LARP1B,Tubule Cell
LHX1,Tubule Cell
LHX1OS,Tubule Cell
OXCT1,Tubule Cell
PAPSS1,Tubule Cell
PGAM2,Tubule Cell
PVALB,Tubule Cell
SGMS2,Tubule Cell
SLC12A3,Tubule Cell
SLC16A7,Tubule Cell
TFRC,Tubule Cell
TRPM6,Tubule Cell
TRPM7,Tubule Cell
TSC22D2,Tubule Cell
UROC1,Tubule Cell
WNK1,Tubule Cell
WNK4,Tubule Cell
ADGRG1,Collecting Duct Principal Cell
APELA,Collecting Duct Principal Cell
AQP2,Collecting Duct Principal Cell
AQP3,Collecting Duct Principal Cell
AVPR2,Collecting Duct Principal Cell
BC018473,Collecting Duct Principal Cell
CAV1,Collecting Duct Principal Cell
CAV2,Collecting Duct Principal Cell
CDH16,Collecting Duct Principal Cell
CDO1,Collecting Duct Principal Cell
CELSR2,Collecting Duct Principal Cell
CLDN4,Collecting Duct Principal Cell
FXYD4,Collecting Duct Principal Cell
FZD7,Collecting Duct Principal Cell
GPRC5B,Collecting Duct Principal Cell
GSTT1,Collecting Duct Principal Cell
HES1,Collecting Duct Principal Cell
HSD11B2,Collecting Duct Principal Cell
IVNS1ABP,Collecting Duct Principal Cell
KCNE1,Collecting Duct Principal Cell
KCNJ1,Collecting Duct Principal Cell
L1CAM,Collecting Duct Principal Cell
MYH10,Collecting Duct Principal Cell
NPNT,Collecting Duct Principal Cell
NUDT4,Collecting Duct Principal Cell
OLFM1,Collecting Duct Principal Cell
PDZK1IP1,Collecting Duct Principal Cell
PELI2,Collecting Duct Principal Cell
PHACTR1,Collecting Duct Principal Cell
RNF186,Collecting Duct Principal Cell
SCNN1B,Collecting Duct Principal Cell
SCNN1G,Collecting Duct Principal Cell
SLC2A9,Collecting Duct Principal Cell
STC1,Collecting Duct Principal Cell
TACSTD2,Collecting Duct Principal Cell
TBCK,Collecting Duct Principal Cell
TMEM178,Collecting Duct Principal Cell
TMEM229A,Collecting Duct Principal Cell
TMEM45B,Collecting Duct Principal Cell
TRPV5,Collecting Duct Principal Cell
TSPAN8,Collecting Duct Principal Cell
WFDC2,Collecting Duct Principal Cell
9130008F23RIK,Collecting Duct Intercalated Cell
ATP6V0D2,Collecting Duct Intercalated Cell
ATP6V1G3,Collecting Duct Intercalated Cell
CAR2,Collecting Duct Intercalated Cell
CHCHD10,Collecting Duct Intercalated Cell
CYCS,Collecting Duct Intercalated Cell
FAM13A,Collecting Duct Intercalated Cell
HMX2,Collecting Duct Intercalated Cell
MIF,Collecting Duct Intercalated Cell
MME,Collecting Duct Intercalated Cell
OXGR1,Collecting Duct Intercalated Cell
SLC25A4,Collecting Duct Intercalated Cell
TBC1D24,Collecting Duct Intercalated Cell
TMEM61,Collecting Duct Intercalated Cell
UQCRB,Collecting Duct Intercalated Cell
ACO2,Collecting Duct Transient Cell
ATP5A1,Collecting Duct Transient Cell
CAR12,Collecting Duct Transient Cell
CDC42BPB,Collecting Duct Transient Cell
CHD4,Collecting Duct Transient Cell
CLCNKB,Collecting Duct Transient Cell
COL18A1,Collecting Duct Transient Cell
CTNNB1,Collecting Duct Transient Cell
CTTN,Collecting Duct Transient Cell
DDX6,Collecting Duct Transient Cell
ENPP5,Collecting Duct Transient Cell
GCLC,Collecting Duct Transient Cell
HEPACAM2,Collecting Duct Transient Cell
INSRR,Collecting Duct Transient Cell
ITGAV,Collecting Duct Transient Cell
LAPTM4B,Collecting Duct Transient Cell
MPRIP,Collecting Duct Transient Cell
OGDH,Collecting Duct Transient Cell
PARM1,Collecting Duct Transient Cell
PIP4K2C,Collecting Duct Transient Cell
RHBG,Collecting Duct Transient Cell
RPN1,Collecting Duct Transient Cell
SDHA,Collecting Duct Transient Cell
SEC23B,Collecting Duct Transient Cell
SLC26A4,Collecting Duct Transient Cell
SLC43A2,Collecting Duct Transient Cell
SMPD1,Collecting Duct Transient Cell
SOX4,Collecting Duct Transient Cell
ST14,Collecting Duct Transient Cell
SYT7,Collecting Duct Transient Cell
TMEM117,Collecting Duct Transient Cell
TMEM50B,Collecting Duct Transient Cell
ABI3,Fibroblast
ACE,Fibroblast
ADGRE4,Fibroblast
AP1S2,Fibroblast
ARL5C,Fibroblast
CCDC88A,Fibroblast
CCR2,Fibroblast
CD209A,Fibroblast
CD300A,Fibroblast
CD300E,Fibroblast
CHIL3,Fibroblast
CLEC10A,Fibroblast
CLEC12A,Fibroblast
CLEC4A1,Fibroblast
CLEC4A3,Fibroblast
CYTIP,Fibroblast
EAR2,Fibroblast
ENO3,Fibroblast
F13A1,Fibroblast
CYRIA,Fibroblast
CYRIB,Fibroblast
FGR,Fibroblast
FILIP1L,Fibroblast
FLNA,Fibroblast
FN1,Fibroblast
G6PDX,Fibroblast
GM2A,Fibroblast
GNGT2,Fibroblast
GPR141,Fibroblast
HCK,Fibroblast
HFE,Fibroblast
IFI27L2A,Fibroblast
IFI30,Fibroblast
IFITM3,Fibroblast
IRF7,Fibroblast
ITGAL,Fibroblast
LGALS3,Fibroblast
LRP1,Fibroblast
LST1,Fibroblast
LY6I,Fibroblast
LYN,Fibroblast
LYZ2,Fibroblast
MOB1A,Fibroblast
MPEG1,Fibroblast
MS4A4C,Fibroblast
MS4A6C,Fibroblast
MS4A6D,Fibroblast
MSN,Fibroblast
NAAA,Fibroblast
NADK,Fibroblast
NAPSA,Fibroblast
NR4A1,Fibroblast
PIP4K2A,Fibroblast
PITPNA,Fibroblast
PLAC8,Fibroblast
PLBD1,Fibroblast
PRKCD,Fibroblast
PSAP,Fibroblast
PSMA7,Fibroblast
PTPN1,Fibroblast
PTPN6,Fibroblast
RAP1A,Fibroblast
S100A4,Fibroblast
SAMHD1,Fibroblast
SAT1,Fibroblast
SERPINB10,Fibroblast
SIRPB1C,Fibroblast
STK10,Fibroblast
TGFB1,Fibroblast
TGFBI,Fibroblast
TKT,Fibroblast
TMCC1,Fibroblast
TNFRSF1B,Fibroblast
TPPP3,Fibroblast
TREML4,Fibroblast
UCP2,Fibroblast
ABHD12,Monocyte
ADAP2,Monocyte
ADAP2OS,Monocyte
ADGRE1,Monocyte
ADRB1,Monocyte
AIF1,Monocyte
APOBEC1,Monocyte
APOE,Monocyte
ASAH1,Monocyte
AXL,Monocyte
BASP1,Monocyte
BCL2A1B,Monocyte
C1QA,Monocyte
C1QB,Monocyte
C1QC,Monocyte
C3AR1,Monocyte
CADM1,Monocyte
CCL12,Monocyte
CD72,Monocyte
CD74,Monocyte
CD83,Monocyte
CD86,Monocyte
CDK6,Monocyte
CFH,Monocyte
CLEC4A2,Monocyte
CLEC4B1,Monocyte
COL14A1,Monocyte
CREB5,Monocyte
CST3,Monocyte
CTSC,Monocyte
CTSH,Monocyte
CX3CR1,Monocyte
CXCL16,Monocyte
CYTH4,Monocyte
EBI3,Monocyte
FCGR1,Monocyte
FCGR2B,Monocyte
FCGR3,Monocyte
FCGR4,Monocyte
FGD2,Monocyte
FNBP1,Monocyte
FYB,Monocyte
GM4951,Monocyte
GPR65,Monocyte
GUSB,Monocyte
H2-AA,Monocyte
H2-AB1,Monocyte
H2-DMA,Monocyte
H2-DMB1,Monocyte
H2-EB1,Monocyte
HPGDS,Monocyte
HSPA1A,Monocyte
IFNAR1,Monocyte
INPP5D,Monocyte
ITM2C,Monocyte
LACC1,Monocyte
LAIR1,Monocyte
LAT2,Monocyte
LILRA5,Monocyte
LPAR6,Monocyte
LY86,Monocyte
MARCKS,Monocyte
MGL2,Monocyte
MKNK1,Monocyte
MMP13,Monocyte
MRC1,Monocyte
MS4A7,Monocyte
NTPCR,Monocyte
P2RY6,Monocyte
PARP14,Monocyte
PEA15A,Monocyte
PF4,Monocyte
PID1,Monocyte
PPT1,Monocyte
RAB7B,Monocyte
RBPJ,Monocyte
RGS10,Monocyte
RTN4,Monocyte
RUNX1,Monocyte
SCIMP,Monocyte
SDC3,Monocyte
SFT2D1,Monocyte
SLAMF9,Monocyte
SLCO2B1,Monocyte
STAB1,Monocyte
STAP1,Monocyte
STX16,Monocyte
TAOK3,Monocyte
TGFBR1,Monocyte
TMCC3,Monocyte
TMEM176B,Monocyte
TRF,Monocyte
UNC93B1,Monocyte
VCAM1,Monocyte
VSIR,Monocyte
ZEB2OS,Monocyte
ZMYND15,Monocyte
1600010M07RIK,Granulocyte
2310001H17RIK,Granulocyte
AA467197,Granulocyte
ABTB1,Granulocyte
ADAM8,Granulocyte
ADIPOR1,Granulocyte
ALOX5AP,Granulocyte
ANXA1,Granulocyte
ARG2,Granulocyte
ASPRV1,Granulocyte
BST1,Granulocyte
BTG2,Granulocyte
C5AR1,Granulocyte
CARD19,Granulocyte
CCL3,Granulocyte
CCL6,Granulocyte
CCL9,Granulocyte
CCR1,Granulocyte
CCRL2,Granulocyte
CD177,Granulocyte
CD300LD,Granulocyte
CD300LF,Granulocyte
CDK2AP2,Granulocyte
CFP,Granulocyte
CHIL1,Granulocyte
CLEC4D,Granulocyte
CLEC4E,Granulocyte
CSF3R,Granulocyte
CSRP3,Granulocyte
CXCL2,Granulocyte
CXCR2,Granulocyte
CYP4F18,Granulocyte
DGAT1,Granulocyte
DHRS7,Granulocyte
DUSP1,Granulocyte
EIF4EBP1,Granulocyte
F630028O10RIK,Granulocyte
FOS,Granulocyte
FXYD5,Granulocyte
G0S2,Granulocyte
GDA,Granulocyte
GDPD3,Granulocyte
GLIPR2,Granulocyte
GLRX,Granulocyte
GM5150,Granulocyte
GMFG,Granulocyte
GRINA,Granulocyte
GSR,Granulocyte
H2-Q10,Granulocyte
HACD4,Granulocyte
HDC,Granulocyte
HP,Granulocyte
IER2,Granulocyte
IFITM1,Granulocyte
IL17RA,Granulocyte
IL1B,Granulocyte
IL1F9,Granulocyte
IL1R2,Granulocyte
JUNB,Granulocyte
LCN2,Granulocyte
LILR4B,Granulocyte
LITAF,Granulocyte
LRG1,Granulocyte
LY6G,Granulocyte
MAP1LC3B,Granulocyte
MCEMP1,Granulocyte
MCL1,Granulocyte
MMP8,Granulocyte
MMP9,Granulocyte
MRGPRA2B,Granulocyte
MRPL33,Granulocyte
MSRB1,Granulocyte
MXD1,Granulocyte
NCF1,Granulocyte
NGP,Granulocyte
OAS3,Granulocyte
OSM,Granulocyte
PGD,Granulocyte
PGLYRP1,Granulocyte
PILRA,Granulocyte
PILRB2,Granulocyte
PLP2,Granulocyte
PNKP,Granulocyte
PRR13,Granulocyte
PTGS2,Granulocyte
PTP4A1,Granulocyte
PYGL,Granulocyte
R3HDM4,Granulocyte
RARA,Granulocyte
RASSF3,Granulocyte
RDH12,Granulocyte
RETNLG,Granulocyte
RGS2,Granulocyte
RIOK3,Granulocyte
RNF144A,Granulocyte
S100A11,Granulocyte
S100A6,Granulocyte
S100A8,Granulocyte
S100A9,Granulocyte
SLC16A3,Granulocyte
SLC7A11,Granulocyte
SLFN1,Granulocyte
SLFN4,Granulocyte
SOCS3,Granulocyte
SORL1,Granulocyte
SRGN,Granulocyte
STFA2L1,Granulocyte
STK17B,Granulocyte
TALDO1,Granulocyte
TPD52,Granulocyte
TREM1,Granulocyte
TREM3,Granulocyte
TRIM30B,Granulocyte
TXN1,Granulocyte
TYROBP,Granulocyte
UBE2B,Granulocyte
WFDC17,Granulocyte
WFDC21,Granulocyte
ZFP36,Granulocyte
ZYX,Granulocyte
4930523C07RIK,B Cell
BANK1,B Cell
BLNK,B Cell
BTLA,B Cell
CD19,B Cell
CD22,B Cell
CD37,B Cell
CD79A,B Cell
CD79B,B Cell
CKAP4,B Cell
CMAH,B Cell
CRELD2,B Cell
DERL3,B Cell
DNAJC3,B Cell
EAF2,B Cell
EBF1,B Cell
EDEM1,B Cell
EDEM2,B Cell
FCHSD2,B Cell
FCMR,B Cell
FCRLA,B Cell
FKBP11,B Cell
GM8369,B Cell
H13,B Cell
H2-DMB2,B Cell
H2-OA,B Cell
H2-OB,B Cell
HSP90B1,B Cell
HSPA5,B Cell
HVCN1,B Cell
